"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"PSW00040307","1947-07-14","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   41",",,X","    0",",,X",,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1947-07-15","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  216",",,X","    0",",,X",,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1947-07-16","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  188",",,X","    0",",,X",,,"  300",",,X",,,,,,,,
"PSW00040307","1947-07-17","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   20",",,X","    0",",,X",,,"  300",",,X","  261",",,X",,,,,,
"PSW00040307","1947-07-18","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  472",",,X","    0",",,X",,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-07-19","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   56",",,X","    0",",,X",,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1947-07-20","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,"  317",",,X","  244",",,X",,,,,,
"PSW00040307","1947-07-21","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   38",",,X","    0",",,X",,,"  300",",,X","  256",",,X",,,,,,
"PSW00040307","1947-07-22","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  831",",,X","    0",",,X",,,"  272",",,X","  233",",,X",,,,,,
"PSW00040307","1947-07-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  216",",,X","    0",",,X",,,"  300",",,X","  222",",,X",,,,,,
"PSW00040307","1947-07-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   91",",,X","    0",",,X",,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-07-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   91",",,X","    0",",,X",,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1947-07-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,"  317",",,X","  261",",,X",,,,,,
"PSW00040307","1947-07-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   25",",,X","    0",",,X",,,"  317",",,X","  261",",,X",,,,,,
"PSW00040307","1947-07-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   97",",,X","    0",",,X",,,"  289",",,X","  239",",,X",,,,,,
"PSW00040307","1947-07-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1947-07-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-07-31","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   10",",,X","    0",",,X",,,"  317",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   99",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   15",",,X",,,,,"  317",",,X","  261",",,X",,,,,,
"PSW00040307","1947-08-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,,,,,"  322",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   64",",,X",,,,,"  306",",,X","  239",",,X",,,,,,
"PSW00040307","1947-08-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   48",",,X",,,,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  226",",,X",,,,,"  311",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    5",",,X",,,,,"  333",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  311",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-11","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  109",",,X",,,,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   69",",,X",,,,,"  306",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X",,,,,"  300",",,X","  261",",,X",,,,,,
"PSW00040307","1947-08-14","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  485",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1947-08-15","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  289",",,X","  256",",,X",,,,,,
"PSW00040307","1947-08-17","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  317",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-18","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  274",",,X",,,,,"  311",",,X","  239",",,X",,,,,,
"PSW00040307","1947-08-19","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   25",",,X",,,,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-20","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  282",",,X",,,,,"  294",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-21","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  267",",,X",,,,,"  294",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-22","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   38",",,X",,,,,"  294",",,X","  244",",,X",,,,,,
"PSW00040307","1947-08-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X",,,,,"  294",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  602",",,X",,,,,"  278",",,X","  239",",,X",,,,,,
"PSW00040307","1947-08-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   56",",,X",,,,,"  289",",,X","  250",",,X",,,,,,
"PSW00040307","1947-08-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   15",",,X",,,,,"  300",",,X","  261",",,X",,,,,,
"PSW00040307","1947-08-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  306",",,X","  278",",,X",,,,,,
"PSW00040307","1947-08-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  306",",,X","  272",",,X",,,,,,
"PSW00040307","1947-08-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    5",",,X",,,,,"  311",",,X","  261",",,X",,,,,,
"PSW00040307","1947-08-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS"," 1212",",,X",,,,,"  289",",,X","  233",",,X",,,,,,
"PSW00040307","1947-08-31","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X",,,,,"  339",",,X","  239",",,X",,,,,,
"PSW00040307","1947-09-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   97",",,X",,,,,"  311",",,X","  239",",,X",,,,,,
"PSW00040307","1947-09-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-09-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   10",",,X",,,,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1947-09-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  317",",,X","  250",",,X",,,,,,
"PSW00040307","1947-09-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   97",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-09-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  193",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1947-09-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS"," 1029",",,X",,,,,"  278",",,X","  233",",,X",,,,,,
"PSW00040307","1947-09-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    5",",,X",,,,,"  300",",,X","  256",",,X",,,,,,
"PSW00040307","1947-09-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  317",",,X","  239",",,X",,,,,,
"PSW00040307","1947-09-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X",,,,,"  311",",,X","  244",",,X",,,,,,
"PSW00040307","1947-09-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  300",",,X","  267",",,X",,,,,,
"PSW00040307","1947-09-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,,,,,"  311",",,X","  261",",,X",,,,,,
"PSW00040307","1947-09-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  124",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-09-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  311",",,X","  233",",,X",,,,,,
"PSW00040307","1947-09-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  311",",,X","  267",",,X",,,,,,
"PSW00040307","1947-09-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1947-09-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1947-09-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   48",",,X",,,,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1947-09-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  389",",,X",,,,,"  322",",,X","  244",",,X",,,,,,
"PSW00040307","1947-09-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  311",",,X","  267",",,X",,,,,,
"PSW00040307","1947-10-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X","    0",",,X",,,"  322",",,X","  250",",,X",,,,,,
"PSW00040307","1947-10-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,"  344",",,X","  261",",,X",,,,,,
"PSW00040307","1947-10-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  317",",,X","  272",",,X",,,,,,
"PSW00040307","1947-10-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  328",",,X","  267",",,X",,,,,,
"PSW00040307","1947-10-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   10",",,X",,,,,"  317",",,X","  256",",,X",,,,,,
"PSW00040307","1947-10-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,"  311",",,X","  261",",,X",,,,,,
"PSW00040307","1947-10-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,"  322",",,X","  261",",,X",,,,,,
"PSW00040307","1947-10-11","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,"  317",",,X","  267",",,X",,,,,,
"PSW00040307","1947-10-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,"  322",",,X","  261",",,X",,,,,,
"PSW00040307","1947-10-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-14","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-15","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-16","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-17","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   89",",,X",,,,,"  317",",,X","  250",",,X",,,,,,
"PSW00040307","1947-10-18","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-19","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   56",",,X",,,,,"  311",",,X","  250",",,X",,,,,,
"PSW00040307","1947-10-20","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-21","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-22","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-10-31","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1947-12-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  142",",,X","    0",",,X",,,"  306",",,X","  222",",,X",,,,,,
"PSW00040307","1947-12-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  107",",,X","    0",",,X",,,"  300",",,X","  233",",,X",,,,,,
"PSW00040307","1947-12-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   66",",,X","    0",",,X",,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X","    0",",,X",,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  231",",,X","    0",",,X",,,"  283",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   58",",,X","    0",",,X",,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   23",",,X","    0",",,X",,,"  311",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-11","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   18",",,X","    0",",,X",,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  178",",,X","    0",",,X",,,"  294",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  168",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-14","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   74",",,X","    0",",,X",,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-15","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  119",",,X","    0",",,X",,,"  294",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-16","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    5",",,X","    0",",,X",,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1947-12-17","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   33",",,X","    0",",,X",,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1947-12-18","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  353",",,X","    0",",,X",,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-19","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-20","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  462",",,X","    0",",,X",,,"  300",",,X","  233",",,X",,,,,,
"PSW00040307","1947-12-21","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-22","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  272",",,X","    0",",,X",,,"  283",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  206",",,X","    0",",,X",,,"  283",",,X","  239",",,X",,,,,,
"PSW00040307","1947-12-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1947-12-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,"  317",",,X","  256",",,X",,,,,,
"PSW00040307","1947-12-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  935",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-12-31","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS",,,"    0",",,X",,,,,,,,,,,,
"PSW00040307","1948-01-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   69",",,X",,,,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   81",",,X",,,,,"  306",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   91",",,X",,,,,"  306",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   15",",,X",,,,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  317",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   51",",,X",,,,,"  311",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  122",",,X",,,,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  130",",,X",,,,,"  300",",,X","  222",",,X",,,,,,
"PSW00040307","1948-01-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   48",",,X",,,,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-11","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  311",",,X","  233",",,X",,,,,,
"PSW00040307","1948-01-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  361",",,X",,,,,"  283",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   38",",,X",,,,,"  306",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-14","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   38",",,X",,,,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-15","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  306",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-16","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  311",",,X","  256",",,X",,,,,,
"PSW00040307","1948-01-17","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X",,,,,"  294",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-18","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   10",",,X",,,,,"  289",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-19","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X",,,,,"  294",",,X","  233",",,X",,,,,,
"PSW00040307","1948-01-20","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  294",",,X","  233",",,X",,,,,,
"PSW00040307","1948-01-21","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   18",",,X",,,,,"  306",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-22","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   18",",,X",,,,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-23","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  294",",,X","  256",",,X",,,,,,
"PSW00040307","1948-01-24","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   18",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-25","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   97",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-26","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  843",",,X",,,,,"  294",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-27","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   46",",,X",,,,,"  294",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-28","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    3",",,X",,,,,"  300",",,X","  244",",,X",,,,,,
"PSW00040307","1948-01-29","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  300",",,X","  250",",,X",,,,,,
"PSW00040307","1948-01-30","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   15",",,X",,,,,"  289",",,X","  239",",,X",,,,,,
"PSW00040307","1948-01-31","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   66",",,X",,,,,"  300",",,X","  239",",,X",,,,,,
"PSW00040307","1948-02-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X",,,,,"  306",",,X","  239",",,X",,,,,,
"PSW00040307","1948-02-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0",",,X",,,,,"  306",",,X","  228",",,X",,,,,,
